sas_column,description,data_type,worksheet_code,worksheet_name,line_num,column_num,column_header,category,subcategory
E3_4_HOS_C1_52,Hospital | Line 52 | Col 1,NUMERIC,E30A184,"E-3, Part IV: Settlement - Hospital",05200,00100,Amount,nan,nan
E3_4_HOS_C1_53,Hospital | Line 53 | Col 1,NUMERIC,E30A184,"E-3, Part IV: Settlement - Hospital",05300,00100,Amount,nan,nan
E3_4_HOS_C1_6,Hospital | Line 6 | Col 1,NUMERIC,E30A184,"E-3, Part IV: Settlement - Hospital",00600,00100,Amount,nan,nan
E3_4_HOS_C1_8,Hospital | Line 8 | Col 1,NUMERIC,E30A184,"E-3, Part IV: Settlement - Hospital",00800,00100,Amount,nan,nan
E3_4_SUB1_C1_1,Subprovider 1 | Line 1 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",00100,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_10,Subprovider 1 | Line 10 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",01000,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_11,Subprovider 1 | Line 11 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",01100,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_12,Subprovider 1 | Line 12 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",01200,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_13,Subprovider 1 | Line 13 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",01300,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_14,Subprovider 1 | Line 14 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",01400,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_15,Subprovider 1 | Line 15 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",01500,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_16,Subprovider 1 | Line 16 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",01600,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_17,Subprovider 1 | Line 17 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",01700,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_18,Subprovider 1 | Line 18 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",01800,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_19,Subprovider 1 | Line 19 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",01900,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_2,Subprovider 1 | Line 2 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",00200,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_20,Subprovider 1 | Line 20 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",02000,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_22,Subprovider 1 | Line 22 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",02200,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_23,Subprovider 1 | Line 23 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",02300,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_24,Subprovider 1 | Line 24 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",02400,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_25,Subprovider 1 | Line 25 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",02500,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_26,Subprovider 1 | Line 26 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",02600,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_3,Subprovider 1 | Line 3 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",00300,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_4,Subprovider 1 | Line 4 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",00400,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_5,Subprovider 1 | Line 5 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",00500,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_50,Subprovider 1 | Line 50 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",05000,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_51,Subprovider 1 | Line 51 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",05100,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_52,Subprovider 1 | Line 52 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",05200,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_53,Subprovider 1 | Line 53 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",05300,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_6,Subprovider 1 | Line 6 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",00600,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_7,Subprovider 1 | Line 7 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",00700,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_8,Subprovider 1 | Line 8 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",00800,00100,Amount,LTCH PPS,nan
E3_4_SUB1_C1_9,Subprovider 1 | Line 9 | Col 1,NUMERIC,E31D184,"E-3, Part IV: Settlement - Subprovider 1",00900,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_1,Subprovider 2 | Line 1 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",00100,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_10,Subprovider 2 | Line 10 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",01000,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_11,Subprovider 2 | Line 11 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",01100,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_12,Subprovider 2 | Line 12 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",01200,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_13,Subprovider 2 | Line 13 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",01300,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_14,Subprovider 2 | Line 14 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",01400,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_15,Subprovider 2 | Line 15 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",01500,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_16,Subprovider 2 | Line 16 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",01600,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_17,Subprovider 2 | Line 17 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",01700,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_18,Subprovider 2 | Line 18 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",01800,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_19,Subprovider 2 | Line 19 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",01900,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_2,Subprovider 2 | Line 2 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",00200,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_20,Subprovider 2 | Line 20 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",02000,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_22,Subprovider 2 | Line 22 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",02200,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_23,Subprovider 2 | Line 23 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",02300,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_24,Subprovider 2 | Line 24 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",02400,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_25,Subprovider 2 | Line 25 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",02500,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_26,Subprovider 2 | Line 26 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",02600,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_3,Subprovider 2 | Line 3 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",00300,00100,Amount,LTCH PPS,nan
E3_4_SUB2_C1_4,Subprovider 2 | Line 4 | Col 1,NUMERIC,E32D184,"E-3, Part IV: Settlement - Subprovider 2",00400,00100,Amount,LTCH PPS,nan
