sas_column,worksheet,worksheet_code,line_raw,line,col_raw,col,line_name,col_name,category,subcategory,data_type,status
rpt_rec_num,,,,,,,Report Record Number,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
prvdr_num,,,,,,,Hospital Provider Number,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
fi_num,,,,,,,Fiscal Intermediary Number,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
rpt_stus_cd,,,,,,,Report Status Code,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
fi_creat_dt,,,,,,,Fiscal Intermediary/MAC Create Date,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
fy_bgn_dt,,,,,,,Fiscal Year Begin Date,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
fy_end_dt,,,,,,,Fiscal Year End Date,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
util_cd,,,,,,,"Utilization Code (F=Full, L=Low Medicare)",,,,ID,ID_FIELD
trnsmtl_num,,,,,,,Transmittal Number,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
proc_dt,,,,,,,Processing Date,,,,ID,ID_FIELD
msa,,,,,,,Metropolitan Statistical Area Code,,HOSPITAL IDENTIFICATION INFORMATION,,ID,ID_FIELD
_NAME_,,,,,,,SAS Internal Row Identifier,,,,ID,ID_FIELD
A7_3_C10_2,"A-7, Part III: Capital Assets",A700003,00200,2,01000,10,New Cap Related Csts Movable Equipment,RECONCILIATION OF CAPITAL COST CENTERS - Lease,RECONCILIATION OF CAPITAL COST CENTERS,Lease,ROLLUP,COMPLETE
A7_3_C11_2,"A-7, Part III: Capital Assets",A700003,00200,2,01100,11,New Cap Related Csts Movable Equipment,RECONCILIATION OF CAPITAL COST CENTERS - Interest,RECONCILIATION OF CAPITAL COST CENTERS,Interest,ROLLUP,COMPLETE
A7_3_C15_2,"A-7, Part III: Capital Assets",A700003,00200,2,01500,15,New Cap Related Csts Movable Equipment,RECONCILIATION OF CAPITAL COST CENTERS - Total,RECONCILIATION OF CAPITAL COST CENTERS,Total,ROLLUP,COMPLETE
A7_3_C5_3,"A-7, Part III: Capital Assets",A700003,00300,3,00500,5,Total,RECONCILIATION OF CAPITAL COST CENTERS - Insurance,RECONCILIATION OF CAPITAL COST CENTERS,Insurance,NUMERIC,COMPLETE
A7_3_C6_3,"A-7, Part III: Capital Assets",A700003,00300,3,00600,6,Total,RECONCILIATION OF CAPITAL COST CENTERS - Taxes,RECONCILIATION OF CAPITAL COST CENTERS,Taxes,NUMERIC,COMPLETE
A7_3_C7_3,"A-7, Part III: Capital Assets",A700003,00300,3,00700,7,Total,RECONCILIATION OF CAPITAL COST CENTERS - Other Capital Related Costs,RECONCILIATION OF CAPITAL COST CENTERS,Other Capital Related Costs,NUMERIC,COMPLETE
A7_3_C9_3,"A-7, Part III: Capital Assets",A700003,00300,3,00900,9,Total,RECONCILIATION OF CAPITAL COST CENTERS - Depreciation,RECONCILIATION OF CAPITAL COST CENTERS,Depreciation,NUMERIC,COMPLETE
A7_3_C10_3,"A-7, Part III: Capital Assets",A700003,00300,3,01000,10,Total,RECONCILIATION OF CAPITAL COST CENTERS - Lease,RECONCILIATION OF CAPITAL COST CENTERS,Lease,NUMERIC,COMPLETE
A7_3_C11_3,"A-7, Part III: Capital Assets",A700003,00300,3,01100,11,Total,RECONCILIATION OF CAPITAL COST CENTERS - Interest,RECONCILIATION OF CAPITAL COST CENTERS,Interest,NUMERIC,COMPLETE
A7_3_C15_3,"A-7, Part III: Capital Assets",A700003,00300,3,01500,15,Total,RECONCILIATION OF CAPITAL COST CENTERS - Total,RECONCILIATION OF CAPITAL COST CENTERS,Total,NUMERIC,COMPLETE
A8_C2_1,A-8: Adjustments to Expenses,A800000,00100,1,00200,2,Investment Income-New Bldgs & Fixtures,Reclassification,ADJUSTMENTS,,NUMERIC,COMPLETE
A8_C2_2,A-8: Adjustments to Expenses,A800000,00200,2,00200,2,Investment Income-New Movable Equip,Reclassification,ADJUSTMENTS,,NUMERIC,COMPLETE
